,number,value,datetime_start,datetime_complete,duration,params_alpha_actor,params_alpha_critic,state
33,33,2.899612167149774,2024-09-29 01:50:13.301088,2024-09-29 01:50:15.943833,0 days 00:00:02.642745,0.8271999720687677,0.9134350650634839,COMPLETE
34,34,2.905394178979651,2024-09-29 01:50:15.944734,2024-09-29 01:50:18.377028,0 days 00:00:02.432294,0.932423569434462,0.8632339835550822,COMPLETE
35,35,2.8848570353611818,2024-09-29 01:50:18.377870,2024-09-29 01:50:20.879298,0 days 00:00:02.501428,0.9460180060645125,0.7172129438435579,COMPLETE
36,36,2.8963357586130565,2024-09-29 01:50:20.880296,2024-09-29 01:50:23.335602,0 days 00:00:02.455306,0.9220062522082162,0.8091412550468816,COMPLETE
37,37,2.842603492283054,2024-09-29 01:50:23.336685,2024-09-29 01:50:26.267951,0 days 00:00:02.931266,0.33337117430895297,0.85365131748189,COMPLETE
38,38,2.87814327126716,2024-09-29 01:50:26.268936,2024-09-29 01:50:28.976201,0 days 00:00:02.707265,0.7414245817118645,0.9432861788121354,COMPLETE
39,39,2.8964833584030436,2024-09-29 01:50:28.977177,2024-09-29 01:50:31.456121,0 days 00:00:02.478944,0.6412312108512082,0.8932285639263302,COMPLETE
40,40,2.8300772192135657,2024-09-29 01:50:31.457071,2024-09-29 01:50:34.106555,0 days 00:00:02.649484,0.518530154271781,0.6878643307852763,COMPLETE
41,41,2.901041137137901,2024-09-29 01:50:34.107491,2024-09-29 01:50:36.624251,0 days 00:00:02.516760,0.8580372441232978,0.9390326929059426,COMPLETE
42,42,2.8950103400733584,2024-09-29 01:50:36.625176,2024-09-29 01:50:39.037926,0 days 00:00:02.412750,0.9425329089623361,0.7734472781703415,COMPLETE
43,43,2.9036788913470253,2024-09-29 01:50:39.038850,2024-09-29 01:50:41.544734,0 days 00:00:02.505884,0.8698743166591256,0.9395234061584709,COMPLETE
44,44,2.8648053114849565,2024-09-29 01:50:41.545666,2024-09-29 01:50:44.223663,0 days 00:00:02.677997,0.8743772927176705,0.9587611135245583,COMPLETE
45,45,2.8220250871806285,2024-09-29 01:50:44.224781,2024-09-29 01:50:47.213829,0 days 00:00:02.989048,0.9961436151666666,0.9934684790181062,COMPLETE
46,46,2.890932976360423,2024-09-29 01:50:47.214944,2024-09-29 01:50:49.588509,0 days 00:00:02.373565,0.8613605626360229,0.8380273466309953,COMPLETE
47,47,2.8976903263111495,2024-09-29 01:50:49.589460,2024-09-29 01:50:52.167983,0 days 00:00:02.578523,0.785067940269619,0.9406365117435656,COMPLETE
48,48,0.7776807496106729,2024-09-29 01:50:52.168984,2024-09-29 01:50:57.799888,0 days 00:00:05.630904,0.9370245760484933,0.02131193897107858,COMPLETE
