,number,value,datetime_start,datetime_complete,duration,params_alpha_actor,params_alpha_critic,state
32,32,-0.4814712437283376,2024-09-28 16:00:47.240642,2024-09-28 16:00:48.007281,0 days 00:00:00.766639,0.0888760897973742,0.6600014283456173,COMPLETE
33,33,-0.47641067493768274,2024-09-28 16:00:48.008875,2024-09-28 16:00:48.760956,0 days 00:00:00.752081,0.11045220753675682,0.7744776137167821,COMPLETE
34,34,-0.46574320598138047,2024-09-28 16:00:48.761983,2024-09-28 16:00:49.623097,0 days 00:00:00.861114,0.06694572531204647,0.5711771422151055,COMPLETE
35,35,-0.4907511178209419,2024-09-28 16:00:49.624031,2024-09-28 16:00:50.199186,0 days 00:00:00.575155,0.2484076036935345,0.8974279446048031,COMPLETE
36,36,-0.5481076648881466,2024-09-28 16:00:50.200401,2024-09-28 16:00:50.872231,0 days 00:00:00.671830,0.1635242811256351,0.6785282221867139,COMPLETE
37,37,-0.5634699090499792,2024-09-28 16:00:50.873310,2024-09-28 16:00:51.674281,0 days 00:00:00.800971,0.12028940866584978,0.35626596078926515,COMPLETE
38,38,-0.298121722418663,2024-09-28 16:00:51.675691,2024-09-28 16:00:52.843095,0 days 00:00:01.167404,0.01767543925168523,0.8160908514712369,COMPLETE
39,39,-0.5837632173896532,2024-09-28 16:00:52.843991,2024-09-28 16:00:53.529401,0 days 00:00:00.685410,0.17085190413750231,0.4771595101583172,COMPLETE
40,40,-0.6612038983440591,2024-09-28 16:00:53.530303,2024-09-28 16:00:54.033726,0 days 00:00:00.503423,0.9920590919138603,0.5530256667456511,COMPLETE
41,41,-0.4174059720017827,2024-09-28 16:00:54.034672,2024-09-28 16:00:54.929190,0 days 00:00:00.894518,0.05623000672665078,0.766559703149227,COMPLETE
42,42,-0.3048645254723308,2024-09-28 16:00:54.930145,2024-09-28 16:00:56.091882,0 days 00:00:01.161737,0.020597290447771432,0.638269733981363,COMPLETE
43,43,-0.2315959105131967,2024-09-28 16:00:56.093016,2024-09-28 16:00:57.330526,0 days 00:00:01.237510,0.010634775205818573,0.7169206594121694,COMPLETE
44,44,-0.47744224689998543,2024-09-28 16:00:57.331463,2024-09-28 16:00:58.103458,0 days 00:00:00.771995,0.08701666479482484,0.7001553883668854,COMPLETE
45,45,-0.5490517377158901,2024-09-28 16:00:58.104667,2024-09-28 16:00:58.829349,0 days 00:00:00.724682,0.1220183392277321,0.5994350647072408,COMPLETE
46,46,-0.2614491866174818,2024-09-28 16:00:58.830193,2024-09-28 16:00:59.925270,0 days 00:00:01.095077,0.1916344897382715,0.027251735124014367,COMPLETE
47,47,-0.3303857858427501,2024-09-28 16:00:59.926306,2024-09-28 16:01:00.981660,0 days 00:00:01.055354,0.19491823729773167,0.03946925505907372,COMPLETE
48,48,-0.5398778519828736,2024-09-28 16:01:00.982817,2024-09-28 16:01:01.801056,0 days 00:00:00.818239,0.23972586111988464,0.13992164878025734,COMPLETE
49,49,-0.15068868077662273,2024-09-28 16:01:01.802245,2024-09-28 16:01:03.054866,0 days 00:00:01.252621,0.08026032139609798,0.013063231209626613,COMPLETE
50,50,-0.4627666761661258,2024-09-28 16:01:03.055924,2024-09-28 16:01:04.011427,0 days 00:00:00.955503,0.26667585584084436,0.07894192969067923,COMPLETE
51,51,-0.18303210559239022,2024-09-28 16:01:04.012347,2024-09-28 16:01:05.274789,0 days 00:00:01.262442,0.05638667498815261,0.017652853841635507,COMPLETE
52,52,-0.37571245766044004,2024-09-28 16:01:05.275704,2024-09-28 16:01:06.398295,0 days 00:00:01.122591,0.05923786561873744,0.0792952527364819,COMPLETE
53,53,-0.18459717850205862,2024-09-28 16:01:06.399346,2024-09-28 16:01:07.622638,0 days 00:00:01.223292,0.06865713919727995,0.016792314609275265,COMPLETE
54,54,-0.2725699544011634,2024-09-28 16:01:07.623640,2024-09-28 16:01:08.827252,0 days 00:00:01.203612,0.07192835652466159,0.03164401861109401,COMPLETE
55,55,-0.5318507833598768,2024-09-28 16:01:08.828171,2024-09-28 16:01:09.702309,0 days 00:00:00.874138,0.13500673989090178,0.17488926627700496,COMPLETE
56,56,-0.1395739117295994,2024-09-28 16:01:09.703240,2024-09-28 16:01:10.918442,0 days 00:00:01.215202,0.1805704990600194,0.010983931663463389,COMPLETE
57,57,-0.14800835271541923,2024-09-28 16:01:10.919594,2024-09-28 16:01:12.100908,0 days 00:00:01.181314,0.3765445265286995,0.01168021147473025,COMPLETE
58,58,-0.5074401349187557,2024-09-28 16:01:12.101852,2024-09-28 16:01:12.940280,0 days 00:00:00.838428,0.36630787395340614,0.09856688398590156,COMPLETE
59,59,-0.17968918040555715,2024-09-28 16:01:12.941205,2024-09-28 16:01:14.060353,0 days 00:00:01.119148,0.5422356864341211,0.013802586125510882,COMPLETE
60,60,-0.43091317645024924,2024-09-28 16:01:14.061361,2024-09-28 16:01:14.939913,0 days 00:00:00.878552,0.5774153792333709,0.06828860930207509,COMPLETE
61,61,-0.19377797771670247,2024-09-28 16:01:14.941104,2024-09-28 16:01:16.010295,0 days 00:00:01.069191,0.48926174152303414,0.015596365320006206,COMPLETE
62,62,-0.1693693303756585,2024-09-28 16:01:16.011164,2024-09-28 16:01:17.150059,0 days 00:00:01.138895,0.4943131400854411,0.01307420268879056,COMPLETE
63,63,-0.13669609196188479,2024-09-28 16:01:17.150917,2024-09-28 16:01:18.303418,0 days 00:00:01.152501,0.4259323764564993,0.01002798870429186,COMPLETE
64,64,-0.5664229718545721,2024-09-28 16:01:18.304508,2024-09-28 16:01:19.023376,0 days 00:00:00.718868,0.44995644752715774,0.1403129753611199,COMPLETE
65,65,-0.42111834038269635,2024-09-28 16:01:19.024323,2024-09-28 16:01:19.902670,0 days 00:00:00.878347,0.41331444037767767,0.06347163508783427,COMPLETE
66,66,-0.5366798420700032,2024-09-28 16:01:19.903617,2024-09-28 16:01:20.682985,0 days 00:00:00.779368,0.540871002354835,0.10995929981339077,COMPLETE
67,67,-0.6397653688554886,2024-09-28 16:01:20.683938,2024-09-28 16:01:21.322222,0 days 00:00:00.638284,0.7056356960200569,0.19062318198665795,COMPLETE
68,68,-0.5486821912032623,2024-09-28 16:01:21.323170,2024-09-28 16:01:22.052871,0 days 00:00:00.729701,0.5239616952062235,0.1357588657096925,COMPLETE
69,69,-0.3995456283474273,2024-09-28 16:01:22.053821,2024-09-28 16:01:22.993986,0 days 00:00:00.940165,0.4027044350713237,0.05537483263326669,COMPLETE
70,70,-0.6204871199403709,2024-09-28 16:01:22.994970,2024-09-28 16:01:23.685385,0 days 00:00:00.690415,0.3265454182535307,0.23968835793048576,COMPLETE
71,71,-0.1580749135022491,2024-09-28 16:01:23.686329,2024-09-28 16:01:24.783736,0 days 00:00:01.097407,0.46849884827649585,0.011581971785981166,COMPLETE
72,72,-0.1690852753392759,2024-09-28 16:01:24.785260,2024-09-28 16:01:25.908924,0 days 00:00:01.123664,0.4801917502475406,0.012782035167125408,COMPLETE
73,73,-0.49043765058656724,2024-09-28 16:01:25.909883,2024-09-28 16:01:26.718468,0 days 00:00:00.808585,0.4589627046396814,0.0909592938124463,COMPLETE
74,74,-0.41151861271703394,2024-09-28 16:01:26.719529,2024-09-28 16:01:27.637721,0 days 00:00:00.918192,0.5853442909982755,0.056646605324026565,COMPLETE
