,number,value,datetime_start,datetime_complete,duration,params_alpha_actor,params_alpha_critic,state
32,32,-0.1668309467883508,2024-09-28 20:49:27.322070,2024-09-28 20:49:32.572764,0 days 00:00:05.250694,0.9206358706410195,0.012061018119772863,COMPLETE
33,33,-0.5782596807619625,2024-09-28 20:49:32.573737,2024-09-28 20:49:35.621078,0 days 00:00:03.047341,0.9454203023721054,0.14368062035566045,COMPLETE
34,34,-0.49770050654904047,2024-09-28 20:49:35.622159,2024-09-28 20:49:39.139658,0 days 00:00:03.517499,0.7898426395845862,0.08865777223753749,COMPLETE
35,35,-0.23576609831613646,2024-09-28 20:49:39.140608,2024-09-28 20:49:44.112552,0 days 00:00:04.971944,0.8388987318041203,0.019599842314648223,COMPLETE
36,36,-0.626790003133676,2024-09-28 20:49:44.113622,2024-09-28 20:49:47.250376,0 days 00:00:03.136754,0.3466759659189357,0.24261545620765226,COMPLETE
37,37,-0.3791688000414478,2024-09-28 20:49:47.251411,2024-09-28 20:49:52.928588,0 days 00:00:05.677177,0.022557831339614642,0.14600178467757965,COMPLETE
38,38,-0.6501782877247733,2024-09-28 20:49:52.929805,2024-09-28 20:49:55.455949,0 days 00:00:02.526144,0.7719522240057771,0.3079515912472794,COMPLETE
39,39,-0.6278224212808867,2024-09-28 20:49:55.456900,2024-09-28 20:49:57.692510,0 days 00:00:02.235610,0.9489942497512809,0.5228573105407159,COMPLETE
40,40,-0.6036297883690497,2024-09-28 20:49:57.693474,2024-09-28 20:49:59.899145,0 days 00:00:02.205671,0.8656951038224526,0.6072827414808554,COMPLETE
41,41,-0.20870360618416237,2024-09-28 20:49:59.900170,2024-09-28 20:50:04.976571,0 days 00:00:05.076401,0.9296987839417218,0.01618000682524725,COMPLETE
42,42,-0.45568829209697465,2024-09-28 20:50:04.977575,2024-09-28 20:50:08.801033,0 days 00:00:03.823458,0.9463322033340766,0.06766074335254568,COMPLETE
43,43,-0.14200086338737095,2024-09-28 20:50:08.802011,2024-09-28 20:50:14.414444,0 days 00:00:05.612433,0.6946884142188763,0.0100126992025541,COMPLETE
44,44,-0.604842621580272,2024-09-28 20:50:14.415373,2024-09-28 20:50:16.809734,0 days 00:00:02.394361,0.7047883259192497,0.6757576438952804,COMPLETE
45,45,-0.5451450621261217,2024-09-28 20:50:16.810687,2024-09-28 20:50:20.233224,0 days 00:00:03.422537,0.7980556412737199,0.11355135267112842,COMPLETE
46,46,-0.6073424200481928,2024-09-28 20:50:20.234133,2024-09-28 20:50:23.355278,0 days 00:00:03.121145,0.6668263036487717,0.18667848729841557,COMPLETE
47,47,-0.43937264093061806,2024-09-28 20:50:23.356537,2024-09-28 20:50:27.331854,0 days 00:00:03.975317,0.7614099369880909,0.06309331157097424,COMPLETE
48,48,-0.4219853746578751,2024-09-28 20:50:27.332857,2024-09-28 20:50:31.232204,0 days 00:00:03.899347,0.8667199473786947,0.056896131588068596,COMPLETE
49,49,-0.629317227049848,2024-09-28 20:50:31.233170,2024-09-28 20:50:33.748228,0 days 00:00:02.515058,0.5396335343490983,0.4611286774070207,COMPLETE
50,50,-0.5988755111124947,2024-09-28 20:50:33.749333,2024-09-28 20:50:36.848212,0 days 00:00:03.098879,0.7258887521671493,0.1618254485335766,COMPLETE
51,51,-0.23929562549944028,2024-09-28 20:50:36.849156,2024-09-28 20:50:41.861620,0 days 00:00:05.012464,0.9271836641945185,0.01976934374566843,COMPLETE
52,52,-0.18173311028030353,2024-09-28 20:50:41.862487,2024-09-28 20:50:47.038338,0 days 00:00:05.175851,0.8401883880350713,0.013688382604493711,COMPLETE
53,53,-0.5178224206510251,2024-09-28 20:50:47.039354,2024-09-28 20:50:50.752410,0 days 00:00:03.713056,0.8390003091306949,0.09744966402814688,COMPLETE
54,54,-0.38712584208159717,2024-09-28 20:50:50.753614,2024-09-28 20:50:54.855778,0 days 00:00:04.102164,0.962344508629618,0.04671010782707616,COMPLETE
55,55,-0.557239597010733,2024-09-28 20:50:54.856831,2024-09-28 20:50:58.089763,0 days 00:00:03.232932,0.8783528865453836,0.12587130035117206,COMPLETE
56,56,-0.613080090562909,2024-09-28 20:50:58.090886,2024-09-28 20:51:00.881612,0 days 00:00:02.790726,0.8124150325061764,0.21884415003733887,COMPLETE
57,57,-0.3852572539065668,2024-09-28 20:51:00.882637,2024-09-28 20:51:04.976708,0 days 00:00:04.094071,0.9989348241479273,0.04670173803947724,COMPLETE
58,58,-0.5658361527596346,2024-09-28 20:51:04.977722,2024-09-28 20:51:07.284633,0 days 00:00:02.306911,0.7394502599076784,0.8378691547720307,COMPLETE
59,59,-0.16847121746553456,2024-09-28 20:51:07.285686,2024-09-28 20:51:12.457253,0 days 00:00:05.171567,0.9015870186413,0.012124005123088722,COMPLETE
60,60,-0.5036883878725286,2024-09-28 20:51:12.458237,2024-09-28 20:51:16.174999,0 days 00:00:03.716762,0.4695292212152088,0.09426618685300453,COMPLETE
61,61,-0.16267504327386503,2024-09-28 20:51:16.176027,2024-09-28 20:51:21.369966,0 days 00:00:05.193939,0.8902216380670792,0.011464220595171899,COMPLETE
62,62,-0.3663708891792391,2024-09-28 20:51:21.370924,2024-09-28 20:51:25.739594,0 days 00:00:04.368670,0.9033924036567742,0.04251382378626525,COMPLETE
63,63,-0.4750590518958358,2024-09-28 20:51:25.740602,2024-09-28 20:51:29.678993,0 days 00:00:03.938391,0.9666353125748262,0.07546862839404367,COMPLETE
64,64,-0.5625846014059745,2024-09-28 20:51:29.680001,2024-09-28 20:51:32.941477,0 days 00:00:03.261476,0.8568603833786828,0.1266636076795509,COMPLETE
65,65,-0.5962940149246322,2024-09-28 20:51:32.942506,2024-09-28 20:51:35.954059,0 days 00:00:03.011553,0.9056249754935246,0.15853300248284197,COMPLETE
66,66,-0.1501321695518827,2024-09-28 20:51:35.954947,2024-09-28 20:51:41.676166,0 days 00:00:05.721219,0.8165476436741951,0.01071574123186062,COMPLETE
67,67,-0.4975419966662171,2024-09-28 20:51:41.677170,2024-09-28 20:51:45.453740,0 days 00:00:03.776570,0.8242520037441763,0.08712315286907357,COMPLETE
68,68,-0.35663176843546945,2024-09-28 20:51:45.454799,2024-09-28 20:51:50.127995,0 days 00:00:04.673196,0.6641943737681156,0.04053032521309538,COMPLETE
69,69,-0.19578174256540984,2024-09-28 20:51:50.128942,2024-09-28 20:51:55.470998,0 days 00:00:05.342056,0.7628497759408509,0.015063791679255516,COMPLETE
70,70,-0.547172435228548,2024-09-28 20:51:55.471929,2024-09-28 20:51:58.901108,0 days 00:00:03.429179,0.7865211053411458,0.11657350472315114,COMPLETE
71,71,-0.2159364157348032,2024-09-28 20:51:58.902220,2024-09-28 20:52:04.025210,0 days 00:00:05.122990,0.7662434827865042,0.017325050416619227,COMPLETE
72,72,-0.1663184371200764,2024-09-28 20:52:04.026249,2024-09-28 20:52:09.255699,0 days 00:00:05.229450,0.8423519134200492,0.01184899159980458,COMPLETE
73,73,-0.45685775784002597,2024-09-28 20:52:09.256698,2024-09-28 20:52:13.096572,0 days 00:00:03.839874,0.8567500891789055,0.06671323922974354,COMPLETE
74,74,-0.37537890047481676,2024-09-28 20:52:13.097600,2024-09-28 20:52:17.448031,0 days 00:00:04.350431,0.8259182892063428,0.04471421242942592,COMPLETE
75,75,-0.523404303361006,2024-09-28 20:52:17.449225,2024-09-28 20:52:20.854702,0 days 00:00:03.405477,0.926686064429892,0.09689266861935533,COMPLETE
76,76,-0.5451476959653242,2024-09-28 20:52:20.855783,2024-09-28 20:52:23.121313,0 days 00:00:02.265530,0.8973968777850564,0.9122783274972543,COMPLETE
77,77,-0.3610623075147439,2024-09-28 20:52:23.122371,2024-09-28 20:52:27.430088,0 days 00:00:04.307717,0.6970657491095408,0.04193293289808881,COMPLETE
78,78,-0.60888989739219,2024-09-28 20:52:27.431083,2024-09-28 20:52:29.716760,0 days 00:00:02.285677,0.9826204543085693,0.5624424640367351,COMPLETE
79,79,-0.5985406279226134,2024-09-28 20:52:29.717759,2024-09-28 20:52:32.039037,0 days 00:00:02.321278,0.804916556771046,0.7244040927924303,COMPLETE
80,80,-0.4395183805951113,2024-09-28 20:52:32.039987,2024-09-28 20:52:36.746442,0 days 00:00:04.706455,0.17213294609875213,0.07757130431511144,COMPLETE
81,81,-0.20582795448852834,2024-09-28 20:52:36.747767,2024-09-28 20:52:41.967332,0 days 00:00:05.219565,0.8404478347265177,0.01602847595462864,COMPLETE
82,82,-0.31046125292587023,2024-09-28 20:52:41.968344,2024-09-28 20:52:46.860927,0 days 00:00:04.892583,0.7450790341947005,0.031145969714150987,COMPLETE
83,83,-0.4336629830649155,2024-09-28 20:52:46.861993,2024-09-28 20:52:50.970463,0 days 00:00:04.108470,0.7714440094626802,0.0625774485124422,COMPLETE
84,84,-0.14757534015122628,2024-09-28 20:52:50.971570,2024-09-28 20:52:56.416541,0 days 00:00:05.444971,0.8777524623721863,0.010386158609807487,COMPLETE
85,85,-0.4799802981499406,2024-09-28 20:52:56.417492,2024-09-28 20:53:00.072292,0 days 00:00:03.654800,0.9237129033622516,0.0779029981070758,COMPLETE
86,86,-0.5620704242664121,2024-09-28 20:53:00.073352,2024-09-28 20:53:03.252537,0 days 00:00:03.179185,0.8882249065593665,0.13057869697153376,COMPLETE
