,number,value,datetime_start,datetime_complete,duration,params_alpha_actor,params_alpha_critic,state
33,33,-7.941484308746293,2024-09-28 19:14:32.794232,2024-09-28 19:14:35.085973,0 days 00:00:02.291741,0.9081505567380906,0.6893984882422856,COMPLETE
34,34,-8.08373192846827,2024-09-28 19:14:35.086969,2024-09-28 19:14:37.402081,0 days 00:00:02.315112,0.9248300355017371,0.7066667160705002,COMPLETE
35,35,-8.507935111161235,2024-09-28 19:14:37.403466,2024-09-28 19:14:39.828196,0 days 00:00:02.424730,0.6428716890643555,0.5179971110060834,COMPLETE
36,36,-9.761951148995687,2024-09-28 19:14:39.829145,2024-09-28 19:14:42.423110,0 days 00:00:02.593965,0.3095964879147222,0.7670762581202013,COMPLETE
37,37,-16.358032249308042,2024-09-28 19:14:42.424164,2024-09-28 19:14:47.131208,0 days 00:00:04.707044,0.0555413643821262,0.38589681543153853,COMPLETE
38,38,-9.002135513796793,2024-09-28 19:14:47.132108,2024-09-28 19:14:49.572757,0 days 00:00:02.440649,0.46559621656542755,0.8733894853676537,COMPLETE
39,39,-8.58199696538183,2024-09-28 19:14:49.573821,2024-09-28 19:14:51.987602,0 days 00:00:02.413781,0.5638621980443967,0.6938611029555243,COMPLETE
40,40,-8.20401397882771,2024-09-28 19:14:51.988558,2024-09-28 19:14:54.332008,0 days 00:00:02.343450,0.9804251783739929,0.4733140987071117,COMPLETE
41,41,-8.07892986927684,2024-09-28 19:14:54.333318,2024-09-28 19:14:56.667606,0 days 00:00:02.334288,0.8704078642856603,0.6270739237448539,COMPLETE
42,42,-8.025432277156485,2024-09-28 19:14:56.668585,2024-09-28 19:14:58.942188,0 days 00:00:02.273603,0.9314220692840146,0.6584061438065621,COMPLETE
43,43,-8.091238953751148,2024-09-28 19:14:58.943130,2024-09-28 19:15:01.289310,0 days 00:00:02.346180,0.8928602253292719,0.5972354906474703,COMPLETE
44,44,-8.116661587663218,2024-09-28 19:15:01.290241,2024-09-28 19:15:03.662122,0 days 00:00:02.371881,0.9524174189595496,0.5375964848667312,COMPLETE
45,45,-8.071329831134461,2024-09-28 19:15:03.663066,2024-09-28 19:15:06.018624,0 days 00:00:02.355558,0.772918418523353,0.6616219157962362,COMPLETE
46,46,-8.053820290510178,2024-09-28 19:15:06.019590,2024-09-28 19:15:08.324395,0 days 00:00:02.304805,0.8427898784753302,0.7756896217926182,COMPLETE
47,47,-8.164912799496816,2024-09-28 19:15:08.325352,2024-09-28 19:15:10.541006,0 days 00:00:02.215654,0.6943634260556055,0.8409969709953174,COMPLETE
48,48,-14.755110971766488,2024-09-28 19:15:10.542109,2024-09-28 19:15:15.448896,0 days 00:00:04.906787,0.9612414668879138,0.03288996671194372,COMPLETE
49,49,-8.256782616540269,2024-09-28 19:15:15.449831,2024-09-28 19:15:17.905197,0 days 00:00:02.455366,0.7375751764637791,0.7216094163174819,COMPLETE
50,50,-8.417575883943453,2024-09-28 19:15:17.906198,2024-09-28 19:15:20.359009,0 days 00:00:02.452811,0.8197550113164134,0.4864981641908288,COMPLETE
51,51,-7.948451721867083,2024-09-28 19:15:20.360020,2024-09-28 19:15:22.613606,0 days 00:00:02.253586,0.8963901306134192,0.6699481881820327,COMPLETE
52,52,-8.07375684737902,2024-09-28 19:15:22.614572,2024-09-28 19:15:24.856213,0 days 00:00:02.241641,0.8992429187359698,0.5881412647069829,COMPLETE
53,53,-8.106103154114887,2024-09-28 19:15:24.857136,2024-09-28 19:15:27.152641,0 days 00:00:02.295505,0.8636175015584081,0.6890162609648212,COMPLETE
54,54,-7.914496627027007,2024-09-28 19:15:27.153554,2024-09-28 19:15:29.413219,0 days 00:00:02.259665,0.9370186503575749,0.6370679117618303,COMPLETE
55,55,-7.979054228181316,2024-09-28 19:15:29.414189,2024-09-28 19:15:31.680517,0 days 00:00:02.266328,0.9648374104055262,0.9302598127759274,COMPLETE
56,56,-7.993283717698967,2024-09-28 19:15:31.681410,2024-09-28 19:15:33.992586,0 days 00:00:02.311176,0.9327582501328001,0.5642027389102475,COMPLETE
57,57,-8.135353104967576,2024-09-28 19:15:33.993608,2024-09-28 19:15:36.250608,0 days 00:00:02.257000,0.7919922986944065,0.6206812296463563,COMPLETE
58,58,-7.860467296830809,2024-09-28 19:15:36.251511,2024-09-28 19:15:38.438181,0 days 00:00:02.186670,0.9839518869715793,0.7958259548587631,COMPLETE
59,59,-7.919612516066833,2024-09-28 19:15:38.439437,2024-09-28 19:15:40.723988,0 days 00:00:02.284551,0.9735041734962072,0.8446412728117426,COMPLETE
60,60,-8.000349897661826,2024-09-28 19:15:40.724909,2024-09-28 19:15:42.940299,0 days 00:00:02.215390,0.9990358644575913,0.8292718081178697,COMPLETE
61,61,-7.963537447437836,2024-09-28 19:15:42.941271,2024-09-28 19:15:45.233865,0 days 00:00:02.292594,0.9466146265539721,0.7847940728253583,COMPLETE
62,62,-8.051026318097723,2024-09-28 19:15:45.234751,2024-09-28 19:15:47.537248,0 days 00:00:02.302497,0.9752969168492163,0.9344891028860154,COMPLETE
63,63,-8.075162012113319,2024-09-28 19:15:47.538232,2024-09-28 19:15:49.797220,0 days 00:00:02.258988,0.8392233320001219,0.737113840227942,COMPLETE
64,64,-7.893529787245239,2024-09-28 19:15:49.798253,2024-09-28 19:15:52.060799,0 days 00:00:02.262546,0.9998870575490443,0.8605760260149558,COMPLETE
65,65,-8.00388464442948,2024-09-28 19:15:52.061721,2024-09-28 19:15:54.375839,0 days 00:00:02.314118,0.9802405937296474,0.8601707592762089,COMPLETE
66,66,-8.068188659364528,2024-09-28 19:15:54.376775,2024-09-28 19:15:56.677136,0 days 00:00:02.300361,0.9968067960779242,0.9032039165958163,COMPLETE
67,67,-8.315996712530604,2024-09-28 19:15:56.678083,2024-09-28 19:15:59.102550,0 days 00:00:02.424467,0.9320034403191338,0.9537589654155191,COMPLETE
68,68,-7.937327704171397,2024-09-28 19:15:59.103436,2024-09-28 19:16:01.337041,0 days 00:00:02.233605,0.8659461407065439,0.7964815399856671,COMPLETE
